created_at,text
2015-09-03 21:50:05 +0000,"That is the wrong direction. We should not end birthright citizenship, https://t.co/w3xS3tMfDh.  https://t.co/aE0pig4xDr"
2015-09-03 20:17:22 +0000,@KylarNicholasGr Thank you for taking the time to learn about the candidates and the issues. Enjoy your first election season.
2015-09-03 16:55:01 +0000,Speaker Boehner &amp; Maj.Leader McConnell's failed leadership torpedoed opposition to the Iran deal.Fire them both! #FireBoehner #FireMcConnell
2015-09-03 14:08:21 +0000,Jim Gilmore: Alive and Kicking http://t.co/bdm4ZOySFE
2015-09-03 01:31:17 +0000,@mck72ee Thanks for your advice. We're working on it.
2015-09-03 01:29:07 +0000,"@KylarNicholasGr Kylar, you can learn about my plan for growing the economy, securing our country, and more, http://t.co/lX8i2Pdmb9. Thanks!"
2015-09-02 20:48:08 +0000,"Read my positions on the major issues of this campaign: economic growth, security, health care, immigration, http://t.co/lX8i2PuXzJ."
2015-09-02 20:29:52 +0000,"@GrahamDavidA Here you go, http://t.co/SoyWb2ygQP."
2015-09-01 18:39:06 +0000,"Gov. Christie, Gov. Walker, Dr. Carson with their spaghetti on the wall crazy ideas = #notreadytolead"
2015-08-31 17:34:16 +0000,.@JrzyJoePiscopo great time on your show this morning discussing 2016 politics.  http://t.co/inKGglCMrs
2015-08-31 10:52:12 +0000,Will Join Joe Piscopo this morning at 7:40am ET on @am970TheAnswer
2015-08-30 02:28:41 +0000,Gilmore seeks ‘mano a mano’ debate with Trump http://t.co/esZi4UYn4o via @richmonddotcom
2015-08-29 14:16:57 +0000,Roxane and I in Petersburg today @ http://t.co/rV65yPTboo  “Boots on the Ground Soiree” Fundraiser for @BatterseaFdn @AWF_Official 2pm
2015-08-28 15:58:50 +0000,.@realDonaldTrump I challenge you to a debate Mano a Mano on your wrong-headed view of the 14th Amendment
2015-08-28 13:57:39 +0000,Correction: Tune in @CNN I will be on with @PoppyHarlowCNN around 10:05am.
2015-08-28 13:31:30 +0000,Tune in @CNN at 10am this morning. I'm going  to discuss issues of the day with Carol Costello.
2015-08-27 23:41:21 +0000,Jim Gilmore: 'Absolutely Wrong' For Dems to Politicize Va. Shooting http://t.co/Zhg50S6K44 #Newsmax via @Newsmax_Media
