created_at,text
2015-09-16 23:14:42 +0000,Relaxed and ready. Hope everyone can tune in to the #CNNDebate at 8pm EST. -John http://t.co/6lJ0JRBXfq
2015-09-16 22:26:59 +0000,Tune in to the #CNNDebate at 8PM EDT tonight to support Gov. @JohnKasich and pls RT our posts! http://t.co/DWzuMT0cwm
2015-09-16 21:51:53 +0000,"Trent Lott knows why John Kasich stands out in a crowded GOP field. 

""He's got it all."" 

#CNNDebate
https://t.co/3UvIbih3D1"
2015-09-16 20:01:58 +0000,Got my game face on! Ready to have some fun tonight at the #CNNDebate. -John http://t.co/sztZQwJ0AD
2015-09-16 18:49:35 +0000,Member of the media? Be sure to follow @TeamJohnKasich for updates from our Communications team. #KasichForUs
2015-09-16 13:24:56 +0000,Tune in tonight at 8PM EDT for the #CNNDebate! Learn how you can help: http://t.co/37H6oC1rCL #Kasich4Us http://t.co/Z3I48dx4gQ
2015-09-16 00:48:51 +0000,"While other candidates try to connect to Reagan, I actually served w/ him and campaigned for him. -John #CNNDebate
https://t.co/nvAusxMKnp"
2015-09-15 14:15:13 +0000,"Two Pittsburgh guys. One show. See you on 9/22, @LateNightSeth. -John  #LNSM  http://t.co/K9yIyiPU0L"
2015-09-15 12:24:16 +0000,Chip in $5 or more today and help us continue our #Momentum http://t.co/MkFWzzA0gN
2015-09-14 15:05:56 +0000,BREAKING: Gov @JohnKasich is officially the 1st candidate to file for the @NVGOP caucus! #FirstInTheWest http://t.co/NQL0oVTA9k #Kasich4Us
2015-09-14 15:02:42 +0000,"Excited to announce our Georgia endorsements! @BillCowsert, @Fran_Millar &amp; more! https://t.co/L5Pvc2uUqZ #Kasich4Us"
2015-09-14 14:45:11 +0000,"If you live in N.H., hope you can join our #Kasich4Us team at the Debate Watch Party Weds evening! https://t.co/yqgPxdvA1v #FITN #NHPolitics"
2015-09-13 20:20:41 +0000,This sundown marks the beginning of the Jewish New Year. L 'Shana Tova and health &amp; happiness to all celebrating! -John
2015-09-13 13:19:32 +0000,How about those @ToledoFB Rockets? Way to represent Ohio well! -John https://t.co/mBWONJG6nP
2015-09-12 21:25:07 +0000,Thank you to the @StraffordNHGOP for hosting Gov. Kasich today! #FITN #NHPolitics #Kasich4Us http://t.co/s146rFT9Uh
2015-09-12 21:20:39 +0000,Thx to @NewHampshireCR for giving me the chance to talk to you today. These folks are ready to win! #LeadTheEast2015 http://t.co/N17ZtfU2Dn
2015-09-12 17:57:36 +0000,Gov @JohnKasich will be on @FoxNewsSunday - Check your local listing here and tune in! http://t.co/rshCOX0WLg http://t.co/dWdmrNrCZt
2015-09-12 17:48:07 +0000,"Another fun town hall! Gov. Kasich was in Raymond, N.H. today to meet with voters #FITN #NHPolitics http://t.co/kXDdhMiFaQ"
2015-09-12 00:08:34 +0000,Appreciate @GovernorPerry being part of this campaign to return conservatism to the White House. Let's make it happen. -John
2015-09-11 19:31:28 +0000,A beautiful event marked with stories of tragedy and hope. Thx for allowing me the honor of attending. -John http://t.co/0s9ZRS08ZT
2015-09-11 13:23:38 +0000,Today we remember all of those lost &amp; recommit ourselves to freedom &amp; to one another.  -John #NeverForget911
2015-09-11 13:23:02 +0000,"14 years ago evil tried to defeat us, but free people always prevail. -John #NeverForget911"
