created_at,text
2015-09-11 14:43:32 +0000,"On September 11, 2001 evil madmen changed our world forever. May we NEVER forget. We must do whatever it takes to keep Americans safe."
2015-09-10 20:31:57 +0000,Taxpayers shouldn't have to pay millions more for 50 employees of the State Department to clean up Hillary's email mess.
2015-09-10 20:31:09 +0000,"Syria's refugee crisis raging &amp; America’s standing getting weaker, but State Dept can’t do its job because Hillary broke the law."
2015-09-10 19:48:15 +0000,Hillary should reimburse taxpayers for the 50 State Department employees that have been reassigned to sift through her private emails.
2015-09-10 18:34:07 +0000,@AmericanHeart5 Keep spreading the word!
2015-09-10 02:56:57 +0000,"""I'm more happy to stand w/ #KimDavis than I am w/ any of those snobs who look down their nose at her."" #ImWithKim
https://t.co/KKuETqpLJq"
2015-09-09 19:12:35 +0000,"Thoughts, @POTUS @DWSTweets @SenatorReid? #LeadingFromBehind #IranDeal https://t.co/9PRshVMd1h"
2015-09-09 13:53:11 +0000,@jodecin899 thank you!
2015-09-09 13:52:42 +0000,@karen_estill thanks for your support!
2015-09-09 13:52:14 +0000,@SWFLgranny thanks for spreading the word about our campaign and this important issue!
2015-09-09 13:50:32 +0000,@Huckabeliever thank you!
2015-09-09 02:25:52 +0000,This is long from over. We have to stand up for what's right! --&gt; http://t.co/qYxGe1aEPy #ImWithKim #ReligiousLiberty
2015-09-09 02:24:35 +0000,"Will we cont to pretend as though #SCOTUS is the ""Supreme Branch"" w/ authority &amp; ability to make laws? http://t.co/qYxGe1aEPy #ImWithKim"
2015-09-09 02:23:35 +0000,"Appalled @ our govt's willingness to accommodate religious beliefs of all religions, but Christianity --&gt; http://t.co/qYxGe1aEPy #ImWithKim"
2015-09-08 22:56:08 +0000,"""If somebody needs to go to jail, I'm willing to go in her place. And I mean that."" Watch ⬇️ #ImWithKim #KimDavis
https://t.co/3pDYeCCoIR"
2015-09-08 19:51:02 +0000,"Proud to stand with 4,000+ patriots @ the ""#ImWithKim Liberty Rally"" #KimDavis #ReligiousLiberty http://t.co/qTMjznbp8P"
2015-09-08 19:44:42 +0000,"Will we cont to pretend as though #SCOTUS is the ""Supreme Branch"" w/ authority &amp; ability to make laws? http://t.co/fvIY0XrjQf  #ImWithKim"
2015-09-08 19:43:01 +0000,Read my @FXNOpinion column ➡️ http://t.co/fvIY0X9IrF #ImWithKim #KimDavis #ReligiousLiberty http://t.co/khlRwtzXEQ
2015-09-08 18:54:53 +0000,"Watch our ""#ImWithKim Liberty Rally"" live from Grayson, KY right now --&gt; http://t.co/1FGrbq6M0N #KimDavis #ReligiousLiberty"
2015-09-08 18:40:01 +0000,I was honored to meet w/ #KimDavis. A woman of such strong faith and conviction. #ImWithKim #ReligiousLiberty http://t.co/RhcaENaA6i
2015-09-08 18:29:22 +0000,#KimDavis should have never been locked-up for being a Christian and for following her conscience and the law. #ImWithKim #ReligiousLiberty
2015-09-08 17:58:03 +0000,I have arrived @ the Carter County Detention Center &amp; am meeting with #KimDavis. #ImWithKim #ReligiousLiberty
2015-09-08 16:06:18 +0000,Read my @FXNOpinion column ➡️ http://t.co/fvIY0XrjQf #ImWithKim #KimDavis #ReligiousLiberty http://t.co/3UoaR501tO
2015-09-08 15:06:15 +0000,I refuse to sit silently as our Constitution is torched &amp; the courts violate our fundamental rights --&gt; http://t.co/fvIY0XrjQf  #ImWithKim
2015-09-08 15:05:24 +0000,"Appalled @ our govt's willingness to accommodate religious beliefs of all religions, but Christianity --&gt; http://t.co/fvIY0XrjQf #ImWithKim"
2015-09-08 14:41:31 +0000,@ring4liberty Thank you for standing with #KimDavis #ImwithKim!
2015-09-08 14:40:06 +0000,@mikeraygil Thanks for signing!
2015-09-08 14:38:18 +0000,@TheMachineX2 thank you! #ImWithKim
2015-09-08 14:35:50 +0000,@Iowans_Rock Thanks for tweeting!
2015-09-08 13:24:16 +0000,"""Must release #KimDavis. Her right to #ReligiousLiberty has been grossly violated."" My @FoxNews op-ed: http://t.co/Vl3PS0Halg #ImWithKim"
2015-09-08 02:38:58 +0000,"Hope to see you @ the ""#ImWithKim Liberty Rally"" tomorrow, at 3 PM ET, in Grayson, KY! #KimDavis #ReligiousLiberty http://t.co/2mP2W5nDbS"
2015-09-07 13:43:23 +0000,"What respect for fed authority? ""@GavinNewsom [said]...no San Fran employee will help with immigration enforcement."" - SF Chronicle, 4/22/07"
2015-09-07 13:32:45 +0000,"""@GavinNewsom's decision to permit same-sex marriages...created a month-long carnival of civil disobedience inside...City Hall"" - WaPo (3/3)"
2015-09-07 13:32:11 +0000,".@GavinNewsom ""The California Family Code states that marriage is a union between a man and a woman."" - SF Chronicle, 2/15/04 (2/3)"
2015-09-07 13:31:32 +0000,".@GavinNewsom What law on KY books re marriage did #KimDavis break? You, on other hand, broke CA law. (1/3)"
2015-09-07 04:24:12 +0000,"""In 2004...[@GavinNewsom] allowed city hall to grant marriage licenses to gay couples, an act of civil disobedience..."" - Newsweek, 1/16/09"
2015-09-07 03:32:52 +0000,"""@GavinNewsom pledges to make SF a sanctuary for illegal immigrants"" - SF Chronicle, 4/22/07"
2015-09-07 03:26:58 +0000,"""It was only his 12th day as mayor of San Francisco, but @GavinNewsom decided...he was going to defy California law."" - SF Chronicle 2/15/04"
2015-09-07 00:20:47 +0000,"""Huckabee Schools Stephanopoulos On #KimDavis"" - @BreitbartNews
Watch ⬇ #ImWithKim #ReligiousLiberty
https://t.co/KMSEf9PbuY"
2015-09-05 18:54:47 +0000,"100,000 people have signed in 1st 48 hrs, standing w/ #KimDavis. Will you? ➡️ http://t.co/fYxFEng5gH #ImWithKim http://t.co/YC1Z44rpql"
2015-09-05 16:13:41 +0000,"I hope to see you on Tuesday in Grayson, #Kentucky! http://t.co/fYxFEng5gH #ImWithKim #KimDavis #ReligiousLiberty http://t.co/aG5BNpLnBi"
2015-09-04 17:21:58 +0000,That time has come! ➡️ http://t.co/fYxFEng5gH #ImWithKim #KimDavis #ReligiousLiberty http://t.co/nCYpb64n7S
2015-09-04 15:41:23 +0000,"I'll be joined @ the ""#ImWithKim Liberty Rally"" by @MatStaver of @LibertyCounsel, @NOMUpdate, @FRCdc, &amp; others. #KimDavis #ReligiousLiberty"
2015-09-04 15:33:44 +0000,"I'm holding an ""#ImWithKim Liberty Rally"" on Tue, Sept 8 @ 3 PM ET. Carter County Detention Ctr in Grayson, KY. #KimDavis #ReligiousLiberty"
2015-09-04 00:01:46 +0000,We must defend #ReligiousLiberty &amp; never surrender to judicial tyranny! http://t.co/fYxFEng5gH #ImWithKim #KimDavis http://t.co/4r4wyWndAc
2015-09-03 22:23:04 +0000,http://t.co/fYxFEng5gH #ImWithKim #KimDavis #ReligiousLiberty http://t.co/MoTRHmmffo
2015-09-03 22:22:09 +0000,"Five, unelected Supreme Court lawyers did not and cannot make law. They can only make rulings. http://t.co/fYxFEmYup9 #ImWithKim #KimDavis"
2015-09-03 22:21:32 +0000,We must defend #ReligiousLiberty and never surrender to judicial tyranny --&gt; http://t.co/fYxFEng5gH #ImWithKim #KimDavis
2015-09-03 22:20:28 +0000,"This reckless, appalling, out-of-control decision undermines the Constitution &amp; our fundamental right to #ReligiousLiberty. #ImWithKim"
2015-09-03 22:19:24 +0000,Proud of #KimDavis for standing strong for her beliefs. Who's next? Pastors? Photogs? Caterers? Florists? http://t.co/fYxFEng5gH #ImWithKim
2015-09-03 21:12:11 +0000,Exercising #ReligiousLiberty should never be a crime in America --&gt; http://t.co/fYxFEng5gH #ImWithKim #KimDavis http://t.co/TzEB2TYjUW
2015-09-03 20:36:15 +0000,#KimDavis in jail for not issuing same-sex wedding licenses. Why aren't San Fran officials in jail for ignoring immigration law? #ImWithKim
2015-09-03 20:08:29 +0000,I'm headed to Kentucky on Tuesday to stand with #KimDavis. We must end the criminalization of Christianity! #ImWithKim
2015-09-03 19:23:50 +0000,"What a world, where Hillary Clinton isn't in jail but #KimDavis is. #ImWithKim"
2015-09-03 17:20:54 +0000,Kim Davis in federal custody removes all doubts about the criminalization of Christianity in this country. We must defend #ReligiousLiberty!
2015-09-03 15:25:31 +0000,Happy to be at @winthropu today for the Conservative Leadership Project Forum hosted by my good friend @AGAlanWilson. http://t.co/39xKkiYMr4
